GEOID,state,delta
16077.0,Idaho,-35.06163886874547
16079.0,Idaho,-37.36328125
16081.0,Idaho,-0.16077170418006403
16083.0,Idaho,-45.50779942424852
16085.0,Idaho,-18.56421761076836
16087.0,Idaho,-56.27384960718294
17001.0,Illinois,-47.30368376576632
17003.0,Illinois,-8.222066057624737
17005.0,Illinois,-37.45019920318725
17007.0,Illinois,-14.329811747315325
17009.0,Illinois,-55.48549810844894
17011.0,Illinois,-19.62464546496892
17013.0,Illinois,-38.195254764683
17015.0,Illinois,-26.689053055742114
17017.0,Illinois,-31.128024980483996
17019.0,Illinois,18.301174313528612
17021.0,Illinois,-42.37660909502554
17023.0,Illinois,-47.23763874873864
17025.0,Illinois,-63.00787401574803
17027.0,Illinois,-48.60784201159653
17029.0,Illinois,-26.04400128070256
17031.0,Illinois,53.67603764450817
17033.0,Illinois,-49.0948670944088
17035.0,Illinois,-57.03251302317226
17037.0,Illinois,3.1536697247706442
17039.0,Illinois,-41.985947235847796
17041.0,Illinois,-45.89301016036235
17043.0,Illinois,14.508278350347155
17045.0,Illinois,-48.9267115457894
17047.0,Illinois,-70.0328652524649
17049.0,Illinois,-59.92390254983247
17051.0,Illinois,-57.934272300469495
17053.0,Illinois,-47.93621013133209
17055.0,Illinois,-44.83458927903372
17057.0,Illinois,-14.933215167436856
17059.0,Illinois,-47.46952345770226
17061.0,Illinois,-52.64100268576544
17063.0,Illinois,-23.191461892671178
17065.0,Illinois,-57.70523283725396
17067.0,Illinois,-47.04528012279356
17069.0,Illinois,-57.40223463687151
17071.0,Illinois,-28.42524161455372
17073.0,Illinois,-20.75234346467557
17075.0,Illinois,-55.46540110226577
17077.0,Illinois,3.213226632002275
17079.0,Illinois,-59.404205607476634
17081.0,Illinois,-42.76722160127066
17083.0,Illinois,-46.11955236102265
17085.0,Illinois,-14.637374272101638
17087.0,Illinois,-57.59566431269502
17089.0,Illinois,10.501520214335173
17091.0,Illinois,-13.017651411055922
17093.0,Illinois,-0.1440679551705415
17095.0,Illinois,-2.9402508654408166
17097.0,Illinois,20.20558777016342
17099.0,Illinois,-14.365840419757554
17101.0,Illinois,-53.019363308171975
17103.0,Illinois,-19.91090451288011
17105.0,Illinois,-40.50690942432378
17107.0,Illinois,-39.25489879848399
17109.0,Illinois,-11.510846318362361
17111.0,Illinois,-7.625396825396827
17113.0,Illinois,-1.303939374960855
17115.0,Illinois,-17.734082397003746
17117.0,Illinois,-34.13685152057245
17119.0,Illinois,-15.28894829427174
17121.0,Illinois,-43.86786927492094
17123.0,Illinois,-33.355614973262036
17125.0,Illinois,-31.514030218933087
17127.0,Illinois,-49.19946131976657
17129.0,Illinois,-37.05295471987721
17131.0,Illinois,-20.36363636363636
17133.0,Illinois,-36.653921669939024
17135.0,Illinois,-39.49761134227154
17137.0,Illinois,-29.594594594594597
17139.0,Illinois,-47.33407607830653
17141.0,Illinois,-26.048857107427764
17143.0,Illinois,3.0916015948435103
17145.0,Illinois,-44.5854054602659
17147.0,Illinois,-33.1816163410302
17149.0,Illinois,-57.64940239043824
17151.0,Illinois,-60.83099906629319
17153.0,Illinois,-26.069469835466172
17155.0,Illinois,-19.929283188685304
17157.0,Illinois,-46.38579681555587
17159.0,Illinois,-54.07339927121292
17161.0,Illinois,8.282026439978743
17163.0,Illinois,5.7215126886714245
17165.0,Illinois,-50.105411103302885
17167.0,Illinois,-9.186463765464104
17169.0,Illinois,-37.852664576802496
17171.0,Illinois,-54.86963190184049
